,noun,tag,t_count
1758,비장애인,CV_POSITION,4287
1757,도지사,CV_POSITION,4287
1756,장애아동 부모,CV_POSITION,4287
1755,6두품,CV_POSITION,4287
1754,죄임,CV_POSITION,4287
1753,보룡인,CV_POSITION,4287
1752,동성연애자,CV_POSITION,4287
1751,MZ,CV_POSITION,4287
1750,사채업자,CV_POSITION,4287
1749,소대장,CV_POSITION,4287
1748,인정ㅋㅋ미세린타이어,CV_POSITION,4287
1747,실패자,CV_POSITION,4287
1746,잡튜버,CV_POSITION,4287
1745,배신자,CV_POSITION,4287
1744,민간인,CV_POSITION,4287
1763,챔피언,CV_POSITION,4287
1764,여자 서양인,CV_POSITION,4287
1765,금메달감,CV_POSITION,4287
1776,저학력자,CV_POSITION,4287
1784,상급자,CV_POSITION,4287
1783,전사자,CV_POSITION,4287
1782,노비자식,CV_POSITION,4287
1781,전문대생,CV_POSITION,4287
1780,지주,CV_POSITION,4287
1779,염전노예,CV_POSITION,4287
1778,열사,CV_POSITION,4287
1777,수장,CV_POSITION,4287
1775,저소득층,CV_POSITION,4287
1766,학습장애자,CV_POSITION,4287
1774,고위공무원,CV_POSITION,4287
1773,초년생,CV_POSITION,4287
1772,광고주,CV_POSITION,4287
1771,상임고문,CV_POSITION,4287
1770,게이소방관,CV_POSITION,4287
1769,블로거,CV_POSITION,4287
1768,개종자,CV_POSITION,4287
1767,테러자식,CV_POSITION,4287
1743,현역,CV_POSITION,4287
1741,이중국적자,CV_POSITION,4287
1698,외쿡인,CV_POSITION,4287
1740,조국지지자,CV_POSITION,4287
1717,라도인,CV_POSITION,4287
1716,새한녀,CV_POSITION,4287
1715,정신 이상자,CV_POSITION,4287
1714,페미교수,CV_POSITION,4287
1713,교관,CV_POSITION,4287
1712,타지인,CV_POSITION,4287
1711,출소자,CV_POSITION,4287
1710,임원진,CV_POSITION,4287
1709,여자 과장,CV_POSITION,4287
1708,원어민,CV_POSITION,4287
1707,남팬,CV_POSITION,4287
1706,팬덤,CV_POSITION,4287
1705,발달장애인,CV_POSITION,4287
1704,고려대생,CV_POSITION,4287
1703,대중,CV_POSITION,4287
1702,기승,CV_POSITION,4287
1701,힙찔이,CV_POSITION,4287
1700,잼민스,CV_POSITION,4287
1699,교환학생,CV_POSITION,4287
1718,강자,CV_POSITION,4287
1719,간신배,CV_POSITION,4287
1720,집순이,CV_POSITION,4287
1731,이간,CV_POSITION,4287
1739,척,CV_POSITION,4287
1738,담당자,CV_POSITION,4287
1737,여자대통령,CV_POSITION,4287
1736,국개위원,CV_POSITION,4287
1735,개빠,CV_POSITION,4287
1734,발달장애자,CV_POSITION,4287
1733,벌거지,CV_POSITION,4287
1732,싹수,CV_POSITION,4287
1730,이용자,CV_POSITION,4287
1721,웜련,CV_POSITION,4287
1729,자들자,CV_POSITION,4287
1728,그지깽깽이,CV_POSITION,4287
1727,제보자,CV_POSITION,4287
1726,떵거츙,CV_POSITION,4287
1725,우좀틀딱,CV_POSITION,4287
1724,종북좌빨,CV_POSITION,4287
1723,육식인,CV_POSITION,4287
1722,인종차별주의자,CV_POSITION,4287
1608,스발련,CV_POSITION,4287
1606,사범대생,CV_POSITION,4287
1428,보신탕감,CV_POSITION,4287
1472,불가촉천민,CV_POSITION,4287
1492,현직경찰관,CV_POSITION,4287
1491,장애아,CV_POSITION,4287
1490,집주인,CV_POSITION,4287
1489,대사,CV_POSITION,4287
1488,병싄,CV_POSITION,4287
1487,신원미상자,CV_POSITION,4287
1486,선비,CV_POSITION,4287
1485,이민자,CV_POSITION,4287
1484,돌싱녀,CV_POSITION,4287
1483,대장,CV_POSITION,4287
1482,상페녀,CV_POSITION,4287
1481,고집왕,CV_POSITION,4287
1480,덕후,CV_POSITION,4287
1479,개앰생,CV_POSITION,4287
1478,불체자,CV_POSITION,4287
1477,대리기사,CV_POSITION,4287
1476,살인자,CV_POSITION,4287
1475,입주민,CV_POSITION,4287
1474,당대표,CV_POSITION,4287
1493,하타,CV_POSITION,4287
1494,실업자,CV_POSITION,4287
1495,결혼이주자,CV_POSITION,4287
